k;d;avg;% of mispr
52;6;35.97792;0.240761
52;7;38.278244;0.21401
52;8;40.61991;0.192849
52;9;42.905002;0.175172
52;10;38.658464;0.160741
53;0;31.53591;0.944481
53;1;32.341308;0.629725
53;2;33.059312;0.472345
53;3;33.642636;0.378037
53;4;35.084194;0.314981
53;5;36.153664;0.270041
53;6;36.417762;0.236249
53;7;37.743864;0.210066
53;8;40.60113;0.189029
53;9;43.768014;0.171863
53;10;38.677346;0.157508
54;0;31.58724;0.927181
54;1;31.910076;0.618158
54;2;33.000512;0.46362
54;3;33.158888;0.371057
54;4;34.96179;0.309081
54;5;35.692902;0.26497
54;6;35.989838;0.231936
54;7;38.11417;0.206199
54;8;40.264492;0.185519
54;9;42.568126;0.16869
54;10;39.061128;0.154591
55;0;31.472262;0.910432
55;1;31.809104;0.607192
55;2;32.564508;0.45532
55;3;33.43319;0.364317
55;4;34.619434;0.303565
55;5;35.951302;0.260241
55;6;35.931852;0.227661
55;7;38.245284;0.202432
55;8;41.022718;0.182119
55;9;43.031078;0.165554
55;10;38.664186;0.151816
56;0;31.09852;0.894032
56;1;32.312944;0.596325
56;2;33.43773;0.447171
56;3;33.837238;0.357837
56;4;35.243898;0.298131
56;5;36.133786;0.255556
56;6;36.396912;0.223611
56;7;38.692714;0.198855
56;8;40.072334;0.178949
56;9;43.165414;0.162708
56;10;38.7241;0.149183
57;0;31.659328;0.878482
57;1;31.665358;0.586026
57;2;32.964644;0.439396
57;3;33.279842;0.351477
57;4;35.324784;0.292915
57;5;36.079766;0.251141
57;6;36.371414;0.219786
57;7;38.683176;0.195244
57;8;40.335036;0.175849
57;9;42.7807;0.159781
57;10;38.69246;0.146483
58;0;31.5809;0.863433
58;1;32.078136;0.575659
58;2;32.938148;0.431896
58;3;33.758442;0.345757
58;4;35.181802;0.287865
58;5;36.009782;0.24677
58;6;35.887206;0.215899
58;7;38.217792;0.192044
58;8;39.954204;0.172749
58;9;42.423654;0.157281
58;10;38.890542;0.143958
59;0;31.785038;0.848883
