k;d;avg;% of mispr
32;2;43.30773;0.7644
32;3;43.015421;0.610642
32;4;45.972366;0.508419
32;5;47.342544;0.435605
32;6;50.696529;0.380999
32;7;53.07236;0.33979
32;8;52.76775;0.305786
32;9;55.919299;0.557712
32;10;58.230252;0.591599
33;0;41.220439;1.495013
33;1;41.226228;0.991643
33;2;43.3591;0.742052
33;3;42.913564;0.592622
33;4;45.964042;0.493432
33;5;46.340261;0.422658
33;6;50.636974;0.369878
33;7;51.107916;0.329959
33;8;52.803063;0.296572
33;9;55.85158;0.540642
33;10;58.846217;0.704864
34;0;40.780843;1.45142
34;1;41.128508;0.962937
34;2;43.276212;0.72076
34;3;42.888776;0.575726
34;4;39.471856;0.47934
34;5;47.353339;0.410516
34;6;50.538479;0.359274
34;7;52.97136;0.321429
34;8;52.696995;0.28803
34;9;56.812491;0.758718
34;10;57.453533;0.508124
35;0;40.967552;1.410706
35;1;41.044555;0.93662
35;2;43.185555;0.700331
35;3;42.89653;0.55956
35;4;46.053311;0.465948
35;5;47.226323;0.399231
35;6;50.441989;0.34919
35;7;52.759472;0.311655
35;8;52.630536;0.279386
35;9;55.78716;0.509161
35;10;57.586574;0.490237
36;0;40.793497;1.3722
36;1;41.133064;0.910552
36;2;43.199927;0.681343
36;3;42.794287;0.54445
36;4;46.029274;0.453267
36;5;47.156514;0.388365
36;6;50.608222;0.339728
36;7;53.090164;0.302091
36;8;52.695085;0.271909
36;9;55.566205;0.498242
36;10;58.413349;0.650163
37;0;40.838522;1.335613
37;1;40.991834;0.886576
37;2;43.114964;0.663414
37;3;42.824617;0.530011
37;4;45.715091;0.441562
37;5;47.1872;0.37812
37;6;50.308302;0.330835
37;7;52.979707;0.295027
37;8;52.569822;0.264472
37;9;55.758116;0.514785
37;10;57.884921;0.554117
38;0;40.611015;1.300748
38;1;41.152576;0.863528
38;2;42.959214;0.646526
38;3;42.692051;0.516474
38;4;45.885333;0.4301
38;5;47.006818;0.368316
38;6;50.028741;0.323269
38;7;52.95867;0.287368
38;8;52.486236;0.258583
38;9;55.578653;0.47323
38;10;58.167132;0.619146
39;0;35.363995;1.268507
39;1;40.945394;0.841824
39;2;42.871469;0.630511
39;3;42.650407;0.503601
39;4;45.992509;0.419302
39;5;46.753319;0.359166
